Кемерово;Ленинградский пр., д. 28 в;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Кострома;Давыдовский микрорайон, д. 11;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Краснодар;Восточный Обход ул., д. 19;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Краснодар;Западный Обход ул., д. 29;196158, С.-Петербург, Пулковское ш., д. 33;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Краснодар;Российская ул., д. 257;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Красноярск;9 Мая ул., д. 62;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Красноярск;Дмитрия Мартынова ул., д. 12;196158, С.-Петербург, Пулковское ш., д. 33;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Красноярск;Свердловская ул., д. 73;192284, С.-Петербург, Бухарестская ул., д. 69;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Красноярск;Ястынская ул., д. 19 Д;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Курск;Энгельса ул., д. 115 Д;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Липецк;Катукова ул., д. 51;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Липецк;М.И. Неделина ул., д. 4;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Луховицы;Пушкина ул., д. 125;;;;Лента;Гипермаркет
Магнитогорск;Вокзальная ул., д. 23;197374, С.-Петербург, ул. Савушкина, д. 112;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Магнитогорск;Ленина пр., д. 119;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Медведево (Йошкар-Ола);Логинова ул., д. 10;195027, С.-Петербург, пр. Энергетиков, д. 16;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Москва;7-я Кожуховская ул., д. 9;192284, С.-Петербург, Бухарестская ул., д. 69;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Москва;Большая Тарасовская ул., влд. 2 (Тарасовка);;;;Лента;Гипермаркет
Москва;Борисовские Пруды ул., д. 26, кор. 2;196158, С.-Петербург, Пулковское ш., д. 33;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Москва;Западная ул., д. 100 (Новоивановское);;;;Лента;Гипермаркет
Москва;Киевское ш., 23-й км, д. 8, стр. 1;194356, С.-Петербург, Выборгское ш., д. 11;"Режим работы  круглосуточно;";;Лента;Гипермаркет
Москва;Чечёрский пр-д, д. 51;С.-Петербург, г. Петергоф, Гостилицкое ш., д. 58, лит. А;"Режим работы  24 часа;";;Лента;Гипермаркет
Москва;1-я Ильича ул., д. 6 (Ногинск);;;;Лента;Супермаркет
Москва;1-ая Останкинская ул., д. 55;;;;Лента;Супермаркет
Москва;1-я Пролетарская ул., стр. 12 Б (Мытищи);;;;Лента;Супермаркет
Москва;2-я Глуховская ул., 8 стр. 1, 2 (Ногинск);;;;Лента;Супермаркет
Москва;3-я Крестьянская ул., д. 23 (Мытищи);;;;Лента;Супермаркет
Москва;60 Лет СССР ул., д. 10 (Фрязино);;;;Лента;Супермаркет
Москва;Августовская ул., д. 14 (Апрелевка);;;;Лента;Супермаркет
Москва;Будённого пр., д. 18 Б;;;;Лента;Супермаркет
Москва;Говорова ул., д. 24Б (Одинцово);;;;Лента;Супермаркет
Москва;Гоголя ул., 2 (Зеленоград);;;;Лента;Супермаркет
Москва;Гурьянова ул., д. 2а;;;;Лента;Супермаркет
Москва;Декабристов ул., д. 2, стр. 1 (Ногинск);;;;Лента;Супермаркет
Москва;Есенинский б-р, д. 1/26, кор. 1;;;;Лента;Супермаркет
Москва;Зеленодольская, д. 44A;;;;Лента;Супермаркет
