г. Ижевск;" пер. Широкий, дом 53, ТЦ ""Сигма"", 1 этаж ";Автобус № 19, 26, 28, 39, остановка «Филармония». Троллейбус № 1, 4, 4Д, 7, 7Д, остановка «Филармония». Трамвай № 2, 7, 9, остановка «Международный Университет»пройти 400 метров в сторону Центральной площади . Трамвай № 1, 2, 4, 9, 10 остановка «Переулок Широкий», пройти 450 метров до улицы Пушкинская;Режим работы: 10:00-21:00;Телефон: 8 (3412) 57-28-50;Дочкисыночки;
г. Иркутск;" ул. К. Либкнехта, д. 239 В, ТЦ ""Эльдорадо"", 2 этаж.";"Пересечение улиц Карла Либкнехта и Волжская ТЦ ""Эльдорадо"", ост. трамвая ""Карла Либкнехта"", трамвай: 1, 3, 5, 6. Маршрутное такси: 69к. ост. троллейбуса ""Волжская"", троллейбус: 3, 7, 8, 10. Маршрутные такси: 2, 10, 16, 16с, 16к, 45, 56, 416, 417, 450. Автобусы: 2к, 7, 16, 34, 80, 88, 90. "".";Режим работы:  с 10:00 до 20:00 ;Телефон: 8 (3952) 28-14-71/77;Дочкисыночки;
г. Иркутск; ул. Октябрьской революции д. 1 к.5;"Маршрутное такси: 1, 8, 9, 15, 27, 31, 32, 56, 87, 92 Троллейбус: 3; Автобус: 8, 13, 67; Остановка ""Фортуна"" ";Режим работы:  с 09:00 до 20:00;Телефон: 8 (3952) 265-001/006;Дочкисыночки;
г. Казань; ул. Маршала Чуйкова, д. 23;"Пересечение улиц Мусина и Чуйкова напротив Мечети. Автобусы:18,35,46 до 
остановки ""ул. Чуйкова""
";Режим работы: 10:00-21:00;Телефон: 8 (832) 522-40-01;Дочкисыночки;
г. Казань; ул. Проспект Ибрагимова, д. 56  ТРК „Тандем“ ;"Остановка ТРК ""Тандем"" 
со стороны ул. Ибрагимова.
Автобусы: 6, 15, 22, 29, 35а, 37,47, 98.
Троллейбусы: 7,10.
Станция метро ""Козья слобода"" ТРК ""Тандем"", 2й этаж, галерея ""Эльдорадо"". 
";Режим работы: 10:00-22:00;Телефон: 8 (843) 204-12-50;Дочкисыночки;
г. Казань;" ул. Фучика, д.90, ТРЦ ""FRANT"", 1 этаж";"Автобусы: 5, 18, 19, 30, 31, 33, 34, 45, 46, 62, 63, 68, 77, 83.
Троллейбус: 9, 12, 21.
Остановка ""Чишмяле"".
Торговый центр ""Франт"", первый этаж.";Режим работы: 10:00-22:00;Телефон: 8 (843) 526-16-96, 8 (843) 526-16-98;Дочкисыночки;
г. Калуга;" ул. Гагарина, д. 1, ТЦ ""Атак"", 2 этаж";"Троллейбус: 1, 2, 3, 18 остановка ""Шестая школа"".
Открыт отдел ""Женские штучки!""";Режим работы: 10:00-21:00;Телефон: 8 (4842) 21-22-81;Дочкисыночки;
г. Калуга; ул. Кропоткина, д. 4;"Маршрутное такси:36,12. Троллейбус: 1,2. Автобус №29, Маршрутное такси и троллейбус №3 кольцевой до остановки ""пл.Старый Торг"", далее пешком через сквер до улицы Кропоткина.";Режим работы: 10:00-20:00;Телефон: 8 (4842) 57-45-66;Дочкисыночки;
г. Кемерово; проспект Молодежный, д.2, 2 этаж;"Остановка ""Гостиный двор"" (проспект Молодежный). Автобус: 36, 75 (раб.дни), 91, 91у, 93(раб.дни) Троллейбус: 15, 15у. Маршрутное такси: 2, 3, 4т/14т, 18, 30, 50, 126. Остановка ""Гостиный двор"" (улица Свободы). Автобус: 94. Маршрутное такси: 44, 45т, 47. ТРЦ ""Гринвич"".";Режим работы: с 10:00 до 21:00;Телефон:  8 (3842) 657-031/032;Дочкисыночки;
г. Киров;" ул. Воровского, д. 135, ТЦ ""Глобус"", 1 этаж";"От ж/д и авто вокзалов: 
автобус: 16, 38, 61, 73; 
троллейбус: 7. 
Остановка ""ТРЦ ""Глобус"".

Из центра города: 
автобус: 14, 21, 70, 84; троллейбус: 8.
Остановка ""ТРЦ ""Глобус"".

Из Нововятска: 
автобус 87. 
Остановка ""ТРЦ ""Глобус"".

Из р-на Филейки и ул.Лепсе: 
автобус 74. 
Остановка ""Площадь Конева"".
Открыт отдел ""Женские штучки!""";Режим работы: 10:00-21:00;Телефон: 8 (8332) 62-64-32;Дочкисыночки;
