Город;Адрес;Комментарий;График работы;Телефон;Магазин;Формат
Москва;"141400 Московская обл., Химкинский р-н, г. Химки, Микрорайон «ИКЕА», корпус 4 ТЦ ""Мега""";Ашан;;8 800 700 5 800;АШАН
Москва;"МО, г. Реутов, Носовихинское шоссе, д. 45";Ашан;"ежедневно с 8.30 до 22.00";", 8 800 700 5 800";АШАН
Москва; г. Москва, ул. Миклухо-Маклая, д. 32 А м.Беляево ;Ашан; Ежедневно с 8:00 до 23:00;8 800 700 5 800;АШАН Сити
Москва; 117556 г. Москва, Варшавское шоссе, дом 97;Ашан; Ежедневно с 8:00 - 23:00;;АШАН Сити
Москва;г. Москва, пр-т. Вернадского, д. 6 м.Университет;Ашан;Ежедневно с 8:00 до 24:00;8 800 700 5 800;АШАН Сити
Москва;115280, г.Москва, ул. Автозаводская, д.18;Ашан;Ежедневно с 8:00 до 23:00;8 800 700 5 800;АШАН Сити
Москва;МО, г. Реутов, Носовихинское шоссе, д. 45;Ашан;Ежедневно с 8:00 до 23:00;8 800 700 5 800;АШАН Сити
Москва; 121552, ул.Ярцевская, дом 19, строение 1.   Торговый комплекс Кунцево Плаза;Ашан; Ежедневно с 8:30 до 23:00;8 800 700 5 800;АШАН Сити
Москва;г. Москва, ул. Правобережная, д. 1 Б м. Речной вокзал;Ашан;Ежедневно с 8:00 до 23:00;8 800 700 5 800;АШАН Сити
Москва;г. Москва, ул. Шереметьевская, д, 20 м. Марьина Роща, Рижская, ВДНХ;Ашан;Ежедневно с 8:00 до 23:00;8 800 700 5 800;АШАН Сити
Москва; МО, г. Орехово-Зуево, ул. Якова Флиера, д. 4  Телефон  8 800 700 5 800 ;Ашан; Ежедневно с 7:30 до 23:00;Адрес МО, г. Орехово-Зуево, ул. Якова Флиера, д. 4    8 800 700 5 800;АШАН Сити
Москва;г. Подольск, ул. Б. Серпуховская, д. 45;Ашан;Ежедневно с 8:00 до 23:00;8 800 700 5 800;АШАН Сити
Москва; г. Москва, Севастопольский проспект, д. 11 Е м. Тульская, Академическая, Нагорная, станция МЦК Крымская  ;Ашан; Ежедневно с 7:00 до 24:00;8 800 700 5 800;АШАН Сити
Москва;г. Москва, Багратионовский проезд,  д. 5 м. Фили, Багратионовская, Парк Победы;Ашан;Ежедневно с 8:00 до 23:00;8 800 700 5 800;АШАН Сити
Москва;г. Москва, Щелковское шоссе, д. 100/100, ТЦ Щёлково;Ашан;Ежедневно с 8:00 до 23:00;8 800 700 5 800;АШАН Сити
Москва;г. Москва, Верхняя Красносельская ул., 3-а, 107140;Ашан; Ежедневно с 8:00 до 23:00;;АШАН Сад
Москва;г. Москва, Рогожский вал 13, стр.8;Ашан;;;Мой АШАН
Москва; г. Москва, Госпитальный вал, д. 5, корпус 12 ;Ашан;;;Мой АШАН
Москва;г. Москва  ул.Сокольническая площадь д.9;Ашан;;;Мой АШАН
Москва;г. Москва, ул. Вавилова, д.72/13;Ашан;;;Мой АШАН
Москва;г. Москва, Бакунинская, д.38-42, стр.1;Ашан;;;Мой АШАН
Москва; г. Москва, ул. Новосущевская, д.15;Ашан;;;Мой АШАН
